Layers,Neurons,Learning Rate,Epochs,Test Accuracy (%)
1,5,0.1,1000,44.42
1,5,0.1,2000,55.58
1,5,0.1,3000,55.58
1,5,0.2,1000,44.42
1,5,0.2,2000,44.42
1,5,0.2,3000,44.42
1,5,0.3,1000,44.42
1,5,0.3,2000,44.42
1,5,0.3,3000,44.42
1,10,0.1,1000,44.42
1,10,0.1,2000,44.42
1,10,0.1,3000,44.42
1,10,0.2,1000,44.42
1,10,0.2,2000,44.42
1,10,0.2,3000,44.42
1,10,0.3,1000,44.42
1,10,0.3,2000,44.42
1,10,0.3,3000,44.42
1,15,0.1,1000,44.42
1,15,0.1,2000,44.42
1,15,0.1,3000,44.42
1,15,0.2,1000,44.42
1,15,0.2,2000,55.58
1,15,0.2,3000,44.42
1,15,0.3,1000,44.42
1,15,0.3,2000,55.58
1,15,0.3,3000,44.42
2,5,0.1,1000,55.58
2,5,0.1,2000,44.42
2,5,0.1,3000,55.58
2,5,0.2,1000,44.42
2,5,0.2,2000,44.42
2,5,0.2,3000,44.42
2,5,0.3,1000,44.42
2,5,0.3,2000,44.42
2,5,0.3,3000,44.42
2,10,0.1,1000,44.42
2,10,0.1,2000,44.42
2,10,0.1,3000,44.42
2,10,0.2,1000,44.42
2,10,0.2,2000,44.42
2,10,0.2,3000,55.58
2,10,0.3,1000,44.42
2,10,0.3,2000,55.58
2,10,0.3,3000,44.42
2,15,0.1,1000,44.42
2,15,0.1,2000,55.58
2,15,0.1,3000,44.42
2,15,0.2,1000,55.58
2,15,0.2,2000,55.58
2,15,0.2,3000,55.58
2,15,0.3,1000,44.42
2,15,0.3,2000,44.42
2,15,0.3,3000,44.42
